series,timestamp,value,label
Rise,2015-07-21T04:45:00.000Z,284.75,discard
Set,2015-07-21T18:20:00.000Z,1099.75,discard
Rise,2015-07-22T05:25:00.000Z,324.75,discard
Set,2015-07-22T16:30:00.000Z,989.75,discard
Rise,2015-07-23T06:50:00.000Z,409.75,discard
Set,2015-07-23T18:15:00.000Z,1094.75,discard
Rise,2015-07-24T05:20:00.000Z,319.75,discard
Set,2015-07-24T21:20:00.000Z,1279.75,discard
Rise,2015-07-25T04:50:00.000Z,289.75,discard
Set,2015-07-25T11:05:00.000Z,664.75,discard
Rise,2015-07-27T16:40:00.000Z,999.75,discard
Set,2015-07-27T16:45:00.000Z,1004.75,discard
Rise,2015-07-28T09:45:00.000Z,584.75,discard
Set,2015-07-28T11:20:00.000Z,679.75,discard
Set,2015-07-30T08:30:00.000Z,509.75,discard
Rise,2015-07-30T08:30:00.000Z,509.75,discard
Rise,2015-08-02T06:10:00.000Z,369.75,discard
Set,2015-08-02T17:55:00.000Z,1074.75,discard
Rise,2015-08-03T04:20:00.000Z,259.75,1
Set,2015-08-03T19:10:00.000Z,1149.75,1
Rise,2015-08-04T04:05:00.000Z,244.75,1
Set,2015-08-04T19:10:00.000Z,1149.75,1
Rise,2015-08-05T04:05:00.000Z,244.75,1
Set,2015-08-05T19:00:00.000Z,1139.75,1
Rise,2015-08-06T04:05:00.000Z,244.75,1
Set,2015-08-06T18:35:00.000Z,1114.75,discard
Rise,2015-08-07T04:25:00.000Z,264.75,1
Set,2015-08-07T18:55:00.000Z,1134.75,1
Rise,2015-08-08T04:20:00.000Z,259.75,1
Set,2015-08-08T17:05:00.000Z,1024.75,discard
Rise,2015-08-09T04:45:00.000Z,284.75,1
Set,2015-08-09T18:50:00.000Z,1129.75,1
Rise,2015-08-10T04:20:00.000Z,259.75,1
Set,2015-08-10T19:05:00.000Z,1144.75,1
Rise,2015-08-11T04:10:00.000Z,249.75,1
Set,2015-08-11T19:00:00.000Z,1139.75,1
Rise,2015-08-12T04:10:00.000Z,249.75,1
Set,2015-08-12T18:55:00.000Z,1134.75,1
Rise,2015-08-13T04:10:00.000Z,249.75,1
Set,2015-08-13T18:45:00.000Z,1124.75,1
Rise,2015-08-14T04:30:00.000Z,269.75,1
Set,2015-08-14T18:40:00.000Z,1119.75,1
Rise,2015-08-15T04:40:00.000Z,279.75,1
Set,2015-08-15T18:40:00.000Z,1119.75,1
Rise,2015-08-16T04:20:00.000Z,259.75,1
Set,2015-08-16T18:40:00.000Z,1119.75,1
Rise,2015-08-17T04:35:00.000Z,274.75,1
Set,2015-08-17T18:40:00.000Z,1119.75,1
Rise,2015-08-18T04:30:00.000Z,269.75,1
Set,2015-08-18T18:30:00.000Z,1109.75,1
Rise,2015-08-19T04:35:00.000Z,274.75,1
Set,2015-08-19T18:30:00.000Z,1109.75,1
Rise,2015-08-20T04:30:00.000Z,269.75,1
Set,2015-08-20T18:25:00.000Z,1104.75,1
Rise,2015-08-21T04:40:00.000Z,279.75,1
Set,2015-08-21T18:35:00.000Z,1114.75,1
Rise,2015-08-22T04:30:00.000Z,269.75,1
Set,2015-08-22T18:30:00.000Z,1109.75,1
Rise,2015-08-23T04:30:00.000Z,269.75,2
Set,2015-08-23T18:20:00.000Z,1099.75,2
Rise,2015-08-24T04:50:00.000Z,289.75,2
Set,2015-08-24T18:30:00.000Z,1109.75,2
Rise,2015-08-25T04:35:00.000Z,274.75,2
Set,2015-08-25T18:30:00.000Z,1109.75,2
Rise,2015-08-26T04:40:00.000Z,279.75,3
Set,2015-08-26T18:20:00.000Z,1099.75,3
Rise,2015-08-27T04:40:00.000Z,279.75,3
Set,2015-08-27T18:20:00.000Z,1099.75,3
Rise,2015-08-28T04:40:00.000Z,279.75,3
Set,2015-08-28T18:20:00.000Z,1099.75,3
Rise,2015-08-29T04:40:00.000Z,279.75,3
Set,2015-08-29T18:20:00.000Z,1099.75,3
Rise,2015-08-30T04:50:00.000Z,289.75,3
Set,2015-08-30T18:20:00.000Z,1099.75,3
Rise,2015-08-31T04:55:00.000Z,294.75,3
Set,2015-08-31T18:10:00.000Z,1089.75,3
Rise,2015-09-01T04:55:00.000Z,294.75,3
Set,2015-09-01T18:15:00.000Z,1094.75,3
Rise,2015-09-02T04:50:00.000Z,289.75,3
Set,2015-09-02T18:10:00.000Z,1089.75,3
Rise,2015-09-03T04:45:00.000Z,284.75,3
Set,2015-09-03T18:05:00.000Z,1084.75,3
Rise,2015-09-04T04:45:00.000Z,284.75,3
Set,2015-09-04T18:15:00.000Z,1094.75,3
Rise,2015-09-05T05:00:00.000Z,299.75,3
Set,2015-09-05T18:05:00.000Z,1084.75,3
Rise,2015-09-06T04:45:00.000Z,284.75,3
Set,2015-09-06T18:10:00.000Z,1089.75,3
Rise,2015-09-07T04:45:00.000Z,284.75,3
Set,2015-09-07T18:10:00.000Z,1089.75,3
Rise,2015-09-08T04:45:00.000Z,284.75,3
Set,2015-09-08T18:10:00.000Z,1089.75,3
Rise,2015-09-09T04:45:00.000Z,284.75,3
Set,2015-09-09T18:00:00.000Z,1079.75,3
Rise,2015-09-10T04:55:00.000Z,294.75,3
Set,2015-09-10T17:50:00.000Z,1069.75,3
Rise,2015-09-11T05:10:00.000Z,309.75,4
Set,2015-09-11T17:50:00.000Z,1069.75,4
Rise,2015-09-12T05:15:00.000Z,314.75,5
Set,2015-09-12T17:40:00.000Z,1059.75,5
Rise,2015-09-13T05:35:00.000Z,334.75,5
Set,2015-09-13T17:40:00.000Z,1059.75,5
Rise,2015-09-14T05:15:00.000Z,314.75,5
Set,2015-09-14T18:00:00.000Z,1079.75,5
Rise,2015-09-15T05:05:00.000Z,304.75,5
Set,2015-09-15T17:25:00.000Z,1044.75,5
Rise,2015-09-16T05:30:00.000Z,329.75,5
Set,2015-09-16T17:50:00.000Z,1069.75,5
Rise,2015-09-17T05:15:00.000Z,314.75,5
Set,2015-09-17T17:50:00.000Z,1069.75,5
Rise,2015-09-18T05:10:00.000Z,309.75,5
Set,2015-09-18T17:55:00.000Z,1074.75,5
Rise,2015-09-19T05:00:00.000Z,299.75,5-5
Set,2015-09-19T17:55:00.000Z,1074.75,6
Rise,2015-09-20T05:40:00.000Z,339.75,7
Set,2015-09-20T18:00:00.000Z,1079.75,7
Rise,2015-09-21T05:40:00.000Z,339.75,7
Set,2015-09-21T17:50:00.000Z,1069.75,7
Rise,2015-09-22T05:35:00.000Z,334.75,8
Set,2015-09-22T17:50:00.000Z,1069.75,8
Rise,2015-09-23T05:30:00.000Z,329.75,8
Set,2015-09-23T17:50:00.000Z,1069.75,8
Rise,2015-09-24T05:35:00.000Z,334.75,9
Set,2015-09-24T17:55:00.000Z,1074.75,9
Rise,2015-09-25T05:30:00.000Z,329.75,9
Set,2015-09-25T17:40:00.000Z,1059.75,9
Rise,2015-09-26T05:35:00.000Z,334.75,9
Set,2015-09-26T17:35:00.000Z,1054.75,9
Rise,2015-09-27T05:30:00.000Z,329.75,9
Set,2015-09-27T17:50:00.000Z,1069.75,9
Rise,2015-09-28T05:30:00.000Z,329.75,9
Set,2015-09-28T17:40:00.000Z,1059.75,9
Rise,2015-09-29T05:45:00.000Z,344.75,9
Set,2015-09-29T17:30:00.000Z,1049.75,9
Rise,2015-09-30T06:20:00.000Z,379.75,discard
Set,2015-09-30T17:45:00.000Z,1064.75,9
Rise,2015-10-01T05:35:00.000Z,334.75,9
Set,2015-10-01T17:40:00.000Z,1059.75,9
Rise,2015-10-02T05:30:00.000Z,329.75,9
Set,2015-10-02T17:35:00.000Z,1054.75,9
Rise,2015-10-03T05:40:00.000Z,339.75,9
Set,2015-10-03T17:25:00.000Z,1044.75,9
Rise,2015-10-04T05:55:00.000Z,354.75,9
Set,2015-10-04T17:35:00.000Z,1054.75,9
Rise,2015-10-05T05:35:00.000Z,334.75,9
Set,2015-10-05T17:30:00.000Z,1049.75,9
Rise,2015-10-06T05:35:00.000Z,334.75,9
Set,2015-10-06T17:30:00.000Z,1049.75,9
Rise,2015-10-07T05:40:00.000Z,339.75,9
Set,2015-10-07T17:20:00.000Z,1039.75,9
Rise,2015-10-08T05:40:00.000Z,339.75,9
Set,2015-10-08T16:20:00.000Z,979.75,discard
Rise,2015-10-09T05:55:00.000Z,354.75,9
Set,2015-10-09T17:35:00.000Z,1054.75,9
Rise,2015-10-10T05:45:00.000Z,344.75,9
Set,2015-10-10T17:30:00.000Z,1049.75,9
Rise,2015-10-11T05:45:00.000Z,344.75,10
Set,2015-10-11T17:30:00.000Z,1049.75,10
Rise,2015-10-12T05:40:00.000Z,339.75,10
Set,2015-10-12T17:25:00.000Z,1044.75,10
Rise,2015-10-13T05:50:00.000Z,349.75,11
Set,2015-10-13T17:25:00.000Z,1044.75,11
Rise,2015-10-14T05:45:00.000Z,344.75,11
Set,2015-10-14T17:25:00.000Z,1044.75,11
Rise,2015-10-15T06:00:00.000Z,359.75,12
Set,2015-10-15T17:25:00.000Z,1044.75,12
Rise,2015-10-16T05:40:00.000Z,339.75,discard
Set,2015-10-16T17:30:00.000Z,1049.75,discard
Rise,2015-10-17T06:15:00.000Z,374.75,14
Set,2015-10-17T17:55:00.000Z,1074.75,14
Rise,2015-10-18T06:30:00.000Z,389.75,15
Set,2015-10-18T18:10:00.000Z,1089.75,15
Rise,2015-10-19T06:25:00.000Z,384.75,16
Set,2015-10-19T18:15:00.000Z,1094.75,16
Rise,2015-10-20T06:15:00.000Z,374.75,16
Set,2015-10-20T18:15:00.000Z,1094.75,16
Rise,2015-10-21T06:25:00.000Z,384.75,16
Set,2015-10-21T18:15:00.000Z,1094.75,16
Rise,2015-10-22T06:40:00.000Z,399.75,16
Set,2015-10-22T18:15:00.000Z,1094.75,16
Rise,2015-10-23T06:15:00.000Z,374.75,16
Set,2015-10-23T18:15:00.000Z,1094.75,16
Rise,2015-10-24T06:25:00.000Z,384.75,16
Set,2015-10-24T18:10:00.000Z,1089.75,16
Rise,2015-10-25T06:40:00.000Z,399.75,16
Set,2015-10-25T18:10:00.000Z,1089.75,16
Rise,2015-10-26T06:35:00.000Z,394.75,16
Set,2015-10-26T18:15:00.000Z,1094.75,16
Rise,2015-10-27T06:20:00.000Z,379.75,16
Set,2015-10-27T18:15:00.000Z,1094.75,16
Rise,2015-10-28T06:20:00.000Z,379.75,16
Set,2015-10-28T18:15:00.000Z,1094.75,16
Rise,2015-10-29T06:15:00.000Z,374.75,16
Set,2015-10-29T18:10:00.000Z,1089.75,16
Rise,2015-10-30T06:20:00.000Z,379.75,16
Set,2015-10-30T18:10:00.000Z,1089.75,16
Rise,2015-10-31T06:10:00.000Z,369.75,16
Set,2015-10-31T18:10:00.000Z,1089.75,16
Rise,2015-11-01T06:20:00.000Z,379.75,16
Set,2015-11-01T18:05:00.000Z,1084.75,16
Rise,2015-11-02T06:15:00.000Z,374.75,16
Set,2015-11-02T18:10:00.000Z,1089.75,16
Rise,2015-11-03T06:20:00.000Z,379.75,16
Set,2015-11-03T18:05:00.000Z,1084.75,16
Rise,2015-11-04T06:25:00.000Z,384.75,17
Set,2015-11-04T18:10:00.000Z,1089.75,17
Rise,2015-11-05T06:30:00.000Z,389.75,17
Set,2015-11-05T18:15:00.000Z,1094.75,17
Rise,2015-11-06T06:20:00.000Z,379.75,17
