"series","timestamp","value","label"
"Rise","2016-07-15T03:36:00Z",216.066666666667,"1"
"Set","2016-07-15T19:28:00Z",1168.06666666667,"1"
"Rise","2016-07-16T03:50:00Z",230.066666666667,"1"
"Set","2016-07-16T19:30:00Z",1170.06666666667,"1"
"Rise","2016-07-17T03:54:00Z",234.066666666667,"1"
"Set","2016-07-17T19:22:00Z",1162.06666666667,"1"
"Rise","2016-07-18T03:50:00Z",230.066666666667,"1"
"Set","2016-07-18T19:28:00Z",1168.06666666667,"1"
"Rise","2016-07-19T03:52:00Z",232.066666666667,"1"
"Set","2016-07-19T19:22:00Z",1162.06666666667,"1"
"Rise","2016-07-20T03:46:00Z",226.066666666667,"1"
"Set","2016-07-20T19:20:00Z",1160.06666666667,"1"
"Rise","2016-07-21T04:06:00Z",246.066666666667,"1"
"Set","2016-07-21T19:06:00Z",1146.06666666667,"1"
"Rise","2016-07-22T04:14:00Z",254.066666666667,"1"
"Set","2016-07-22T19:10:00Z",1150.06666666667,"1"
"Rise","2016-07-23T04:04:00Z",244.066666666667,"1"
"Set","2016-07-23T19:16:00Z",1156.06666666667,"1"
"Rise","2016-07-24T04:04:00Z",244.066666666667,"1"
"Set","2016-07-24T19:02:00Z",1142.06666666667,"1"
"Rise","2016-07-25T04:06:00Z",246.066666666667,"1"
"Set","2016-07-25T19:10:00Z",1150.06666666667,"1"
"Rise","2016-07-26T04:10:00Z",250.066666666667,"1"
"Set","2016-07-26T19:12:00Z",1152.06666666667,"1"
"Rise","2016-07-27T04:00:00Z",240.066666666667,"1"
"Set","2016-07-27T19:06:00Z",1146.06666666667,"1"
"Rise","2016-07-28T04:22:00Z",262.066666666667,"1"
"Set","2016-07-28T19:18:00Z",1158.06666666667,"1"
"Rise","2016-07-29T04:00:00Z",240.066666666667,"1"
"Set","2016-07-29T19:12:00Z",1152.06666666667,"1"
"Rise","2016-07-30T04:08:00Z",248.066666666667,"1"
"Set","2016-07-30T18:56:00Z",1136.06666666667,"1"
"Rise","2016-07-31T04:14:00Z",254.066666666667,"1"
"Set","2016-07-31T18:28:00Z",1108.06666666667,"1"
"Rise","2016-08-01T04:18:00Z",258.066666666667,"1"
"Set","2016-08-01T18:52:00Z",1132.06666666667,"1"
"Rise","2016-08-02T04:32:00Z",272.066666666667,"1"
"Set","2016-08-02T18:56:00Z",1136.06666666667,"1"
"Rise","2016-08-03T04:12:00Z",252.066666666667,"1"
"Set","2016-08-03T18:58:00Z",1138.06666666667,"1"
"Rise","2016-08-04T04:04:00Z",244.066666666667,"1"
"Set","2016-08-04T18:34:00Z",1114.06666666667,"1"
"Rise","2016-08-05T04:38:00Z",278.066666666667,"1"
"Set","2016-08-05T19:18:00Z",1158.06666666667,"1"
"Rise","2016-08-06T03:58:00Z",238.066666666667,"1"
"Set","2016-08-06T19:00:00Z",1140.06666666667,"1"
"Rise","2016-08-07T04:08:00Z",248.066666666667,"1"
"Set","2016-08-07T18:56:00Z",1136.06666666667,"1"
"Rise","2016-08-08T04:16:00Z",256.066666666667,"1"
"Set","2016-08-08T18:50:00Z",1130.06666666667,"1"
"Rise","2016-08-09T04:56:00Z",296.066666666667,"1"
"Set","2016-08-09T18:42:00Z",1122.06666666667,"1"
"Rise","2016-08-10T04:20:00Z",260.066666666667,"1"
"Set","2016-08-10T18:48:00Z",1128.06666666667,"1"
"Rise","2016-08-11T04:06:00Z",246.066666666667,"1"
"Set","2016-08-11T18:54:00Z",1134.06666666667,"1"
"Rise","2016-08-12T04:22:00Z",262.066666666667,"1"
"Set","2016-08-12T18:58:00Z",1138.06666666667,"1"
"Rise","2016-08-13T03:56:00Z",236.066666666667,"1"
"Set","2016-08-13T18:52:00Z",1132.06666666667,"1"
