series,timestamp,value,label
Rise,2016-07-15T03:25:00.000Z,204.25,1
Set,2016-07-15T19:40:00.000Z,1179.25,1
Rise,2016-07-16T03:30:00.000Z,209.25,1
Set,2016-07-16T19:40:00.000Z,1179.25,1
Rise,2016-07-17T03:40:00.000Z,219.25,1
Set,2016-07-17T19:45:00.000Z,1184.25,1
Rise,2016-07-18T03:35:00.000Z,214.25,1
Set,2016-07-18T19:35:00.000Z,1174.25,1
Rise,2016-07-19T03:35:00.000Z,214.25,1
Set,2016-07-19T19:40:00.000Z,1179.25,1
Rise,2016-07-20T03:35:00.000Z,214.25,1
Set,2016-07-20T19:25:00.000Z,1164.25,1
Rise,2016-07-21T03:40:00.000Z,219.25,1
Set,2016-07-21T19:35:00.000Z,1174.25,1
Rise,2016-07-22T03:50:00.000Z,229.25,1
Set,2016-07-22T19:20:00.000Z,1159.25,1
Rise,2016-07-23T03:45:00.000Z,224.25,1
Set,2016-07-23T19:40:00.000Z,1179.25,1
Rise,2016-07-24T03:45:00.000Z,224.25,1
Set,2016-07-24T19:20:00.000Z,1159.25,1
Rise,2016-07-25T03:50:00.000Z,229.25,1
Set,2016-07-25T19:30:00.000Z,1169.25,1
Rise,2016-07-26T03:40:00.000Z,219.25,1
Set,2016-07-26T19:25:00.000Z,1164.25,1
Rise,2016-07-27T03:45:00.000Z,224.25,1
Set,2016-07-27T19:30:00.000Z,1169.25,1
Rise,2016-07-28T03:50:00.000Z,229.25,1
Set,2016-07-28T19:30:00.000Z,1169.25,1
Rise,2016-07-29T03:45:00.000Z,224.25,1
Set,2016-07-29T19:30:00.000Z,1169.25,1
Rise,2016-07-30T03:50:00.000Z,229.25,1
Set,2016-07-30T19:20:00.000Z,1159.25,1
Rise,2016-07-31T03:50:00.000Z,229.25,1
Set,2016-07-31T19:15:00.000Z,1154.25,1
Rise,2016-08-01T03:50:00.000Z,229.25,1
Set,2016-08-01T19:20:00.000Z,1159.25,1
Rise,2016-08-02T03:55:00.000Z,234.25,1
Set,2016-08-02T19:10:00.000Z,1149.25,1
Rise,2016-08-03T03:50:00.000Z,229.25,1
Set,2016-08-03T19:20:00.000Z,1159.25,1
Rise,2016-08-04T03:50:00.000Z,229.25,1
