series,timestamp,value,label
Rise,2016-07-15T04:00:00.000Z,208,discard
Set,2016-07-15T19:08:00.000Z,1116,discard
Rise,2016-07-16T03:54:00.000Z,202,discard
Set,2016-07-16T19:08:00.000Z,1116,discard
Rise,2016-07-17T04:02:00.000Z,210,discard
Set,2016-07-17T19:44:00.000Z,1152,1
Rise,2016-07-18T03:36:00.000Z,184,1
Set,2016-07-18T19:44:00.000Z,1152,1
Rise,2016-07-19T03:34:00.000Z,182,1
Set,2016-07-19T19:48:00.000Z,1156,1
Rise,2016-07-20T03:24:00.000Z,172,1
Set,2016-07-20T19:34:00.000Z,1142,1
Rise,2016-07-21T03:40:00.000Z,188,1
Set,2016-07-21T19:32:00.000Z,1140,1
Rise,2016-07-22T03:56:00.000Z,204,discard
Set,2016-07-22T19:32:00.000Z,1140,1
Rise,2016-07-23T03:40:00.000Z,188,1
Set,2016-07-23T19:32:00.000Z,1140,1
Rise,2016-07-24T03:38:00.000Z,186,1
Set,2016-07-24T19:36:00.000Z,1144,1
Rise,2016-07-25T03:46:00.000Z,194,1
Set,2016-07-25T19:36:00.000Z,1144,1
Rise,2016-07-26T03:36:00.000Z,184,1
Set,2016-07-26T19:28:00.000Z,1136,1
Rise,2016-07-27T03:46:00.000Z,194,1
Set,2016-07-27T19:36:00.000Z,1144,1
Rise,2016-07-28T03:44:00.000Z,192,1
Set,2016-07-28T19:30:00.000Z,1138,1
Rise,2016-07-29T03:42:00.000Z,190,1
Set,2016-07-29T19:32:00.000Z,1140,1
Rise,2016-07-30T03:42:00.000Z,190,1
Set,2016-07-30T19:26:00.000Z,1134,1
Rise,2016-07-31T03:48:00.000Z,196,1
Set,2016-07-31T19:18:00.000Z,1126,1
Rise,2016-08-01T03:58:00.000Z,206,1
Set,2016-08-01T19:18:00.000Z,1126,1
Rise,2016-08-02T03:54:00.000Z,202,1
Set,2016-08-02T19:16:00.000Z,1124,1
Rise,2016-08-03T03:52:00.000Z,200,1
Set,2016-08-03T19:16:00.000Z,1124,1
Rise,2016-08-04T04:00:00.000Z,208,1
Set,2016-08-04T19:00:00.000Z,1108,1
Rise,2016-08-05T04:28:00.000Z,236,discard
Set,2016-08-05T19:06:00.000Z,1114,1
Rise,2016-08-06T04:04:00.000Z,212,1
Set,2016-08-06T19:14:00.000Z,1122,1
Rise,2016-08-07T04:00:00.000Z,208,1
Set,2016-08-07T19:08:00.000Z,1116,1
Rise,2016-08-08T04:04:00.000Z,212,1
Set,2016-08-08T19:04:00.000Z,1112,1
Rise,2016-08-09T04:28:00.000Z,236,discard
Set,2016-08-09T18:24:00.000Z,1072,discard
Rise,2016-08-10T04:08:00.000Z,216,1
Set,2016-08-10T18:50:00.000Z,1098,1
Rise,2016-08-11T04:08:00.000Z,216,1
Set,2016-08-11T18:54:00.000Z,1102,1
Rise,2016-08-12T04:20:00.000Z,228,1
Set,2016-08-12T18:54:00.000Z,1102,1
Rise,2016-08-13T04:22:00.000Z,230,1
Set,2016-08-13T18:48:00.000Z,1096,1
Rise,2016-08-14T04:22:00.000Z,230,1
Set,2016-08-14T18:54:00.000Z,1102,1
Rise,2016-08-15T04:08:00.000Z,216,1
Set,2016-08-15T18:44:00.000Z,1092,1
Rise,2016-08-16T04:20:00.000Z,228,1
Set,2016-08-16T18:42:00.000Z,1090,1
Rise,2016-08-17T04:32:00.000Z,240,1
Set,2016-08-17T18:46:00.000Z,1094,1
Rise,2016-08-18T04:28:00.000Z,236,2
Set,2016-08-18T18:46:00.000Z,1094,2
Rise,2016-08-19T04:54:00.000Z,262,discard
Set,2016-08-19T18:34:00.000Z,1082,discard
Rise,2016-08-20T04:32:00.000Z,240,discard
Set,2016-08-20T18:42:00.000Z,1090,4
Rise,2016-08-21T04:28:00.000Z,236,discard
Set,2016-08-21T18:40:00.000Z,1088,4
Rise,2016-08-22T04:22:00.000Z,230,discard
Set,2016-08-22T18:34:00.000Z,1082,4
Rise,2016-08-23T05:04:00.000Z,272,5
Set,2016-08-23T18:44:00.000Z,1092,5
Rise,2016-08-24T05:14:00.000Z,282,6
Set,2016-08-24T19:04:00.000Z,1112,6
Rise,2016-08-25T05:20:00.000Z,288,7
Set,2016-08-25T19:10:00.000Z,1118,7
Rise,2016-08-26T05:38:00.000Z,306,8
Set,2016-08-26T19:02:00.000Z,1110,8
Rise,2016-08-27T05:42:00.000Z,310,10
Set,2016-08-27T19:02:00.000Z,1110,10
Rise,2016-08-28T05:52:00.000Z,320,12
Set,2016-08-28T19:08:00.000Z,1116,12
Rise,2016-08-29T05:46:00.000Z,314,12
