series,timestamp,value,label
Rise,2016-07-15T03:30:00.000Z,210.25,1
Set,2016-07-15T19:35:00.000Z,1175.25,1
Rise,2016-07-16T03:35:00.000Z,215.25,1
Set,2016-07-16T19:35:00.000Z,1175.25,1
Rise,2016-07-17T03:30:00.000Z,210.25,1
Set,2016-07-17T19:40:00.000Z,1180.25,1
Rise,2016-07-18T03:30:00.000Z,210.25,1
Set,2016-07-18T19:30:00.000Z,1170.25,1
Rise,2016-07-19T03:40:00.000Z,220.25,1
Set,2016-07-19T19:30:00.000Z,1170.25,1
Rise,2016-07-20T03:35:00.000Z,215.25,1
Set,2016-07-20T19:25:00.000Z,1165.25,1
Rise,2016-07-21T03:40:00.000Z,220.25,1
Set,2016-07-21T19:20:00.000Z,1160.25,1
Rise,2016-07-22T03:55:00.000Z,235.25,1
Set,2016-07-22T19:15:00.000Z,1155.25,1
Rise,2016-07-23T03:45:00.000Z,225.25,1
Set,2016-07-23T19:25:00.000Z,1165.25,1
Rise,2016-07-24T03:40:00.000Z,220.25,1
Set,2016-07-24T19:25:00.000Z,1165.25,1
Rise,2016-07-25T03:45:00.000Z,225.25,1
Set,2016-07-25T19:20:00.000Z,1160.25,1
Rise,2016-07-26T03:45:00.000Z,225.25,1
Set,2016-07-26T19:25:00.000Z,1165.25,1
Rise,2016-07-27T03:50:00.000Z,230.25,1
Set,2016-07-27T19:20:00.000Z,1160.25,1
Rise,2016-07-28T03:50:00.000Z,230.25,1
Set,2016-07-28T19:20:00.000Z,1160.25,1
Rise,2016-07-29T03:50:00.000Z,230.25,1
Set,2016-07-29T19:20:00.000Z,1160.25,1
Rise,2016-07-30T03:45:00.000Z,225.25,1
Set,2016-07-30T19:10:00.000Z,1150.25,1
Rise,2016-07-31T03:55:00.000Z,235.25,1
Set,2016-07-31T19:15:00.000Z,1155.25,1
Rise,2016-08-01T03:50:00.000Z,230.25,1
Set,2016-08-01T19:10:00.000Z,1150.25,1
Rise,2016-08-02T04:00:00.000Z,240.25,1
Set,2016-08-02T19:05:00.000Z,1145.25,1
Rise,2016-08-03T04:00:00.000Z,240.25,1
Set,2016-08-03T19:10:00.000Z,1150.25,1
Rise,2016-08-04T04:00:00.000Z,240.25,1
Set,2016-08-04T18:55:00.000Z,1135.25,1
Rise,2016-08-05T04:35:00.000Z,275.25,discard
Set,2016-08-05T19:00:00.000Z,1140.25,1
Rise,2016-08-06T04:00:00.000Z,240.25,1
Set,2016-08-06T19:05:00.000Z,1145.25,1
Rise,2016-08-07T04:00:00.000Z,240.25,1
Set,2016-08-07T18:55:00.000Z,1135.25,1
Rise,2016-08-08T04:00:00.000Z,240.25,1
Set,2016-08-08T18:55:00.000Z,1135.25,1
Rise,2016-08-09T04:30:00.000Z,270.25,1
Set,2016-08-09T18:45:00.000Z,1125.25,1
Rise,2016-08-10T04:15:00.000Z,255.25,1
Set,2016-08-10T18:40:00.000Z,1120.25,1
Rise,2016-08-11T04:10:00.000Z,250.25,1
Set,2016-08-11T18:50:00.000Z,1130.25,1
Rise,2016-08-12T04:20:00.000Z,260.25,1
Set,2016-08-12T18:45:00.000Z,1125.25,1
Rise,2016-08-13T04:10:00.000Z,250.25,1
Set,2016-08-13T18:35:00.000Z,1115.25,1
Rise,2016-08-14T04:15:00.000Z,255.25,1
Set,2016-08-14T18:45:00.000Z,1125.25,1
Rise,2016-08-15T04:15:00.000Z,255.25,1
Set,2016-08-15T18:50:00.000Z,1130.25,1
Rise,2016-08-16T04:20:00.000Z,260.25,1
Set,2016-08-16T18:40:00.000Z,1120.25,1
Rise,2016-08-17T04:20:00.000Z,260.25,1
Set,2016-08-17T18:35:00.000Z,1115.25,1
Rise,2016-08-18T04:45:00.000Z,285.25,discard
Set,2016-08-18T18:40:00.000Z,1120.25,1
Rise,2016-08-19T04:30:00.000Z,270.25,1
Set,2016-08-19T18:30:00.000Z,1110.25,1
Rise,2016-08-20T04:40:00.000Z,280.25,discard
Set,2016-08-20T18:35:00.000Z,1115.25,1
Rise,2016-08-21T04:40:00.000Z,280.25,discard
Set,2016-08-21T18:40:00.000Z,1120.25,1
Rise,2016-08-22T04:15:00.000Z,255.25,1
Set,2016-08-22T18:40:00.000Z,1120.25,1
Rise,2016-08-23T04:30:00.000Z,270.25,1
Set,2016-08-23T18:40:00.000Z,1120.25,1
Rise,2016-08-24T04:25:00.000Z,265.25,1
Set,2016-08-24T18:35:00.000Z,1115.25,1
Rise,2016-08-25T04:30:00.000Z,270.25,1
Set,2016-08-25T18:30:00.000Z,1110.25,1
Rise,2016-08-26T04:35:00.000Z,275.25,1
Set,2016-08-26T18:25:00.000Z,1105.25,1
Rise,2016-08-27T04:25:00.000Z,265.25,1
Set,2016-08-27T18:15:00.000Z,1095.25,1
Rise,2016-08-28T04:30:00.000Z,270.25,1
Set,2016-08-28T18:20:00.000Z,1100.25,1
Rise,2016-08-29T04:35:00.000Z,275.25,1
Set,2016-08-29T18:20:00.000Z,1100.25,1
Rise,2016-08-30T04:35:00.000Z,275.25,1
Set,2016-08-30T18:25:00.000Z,1105.25,1
Rise,2016-08-31T04:35:00.000Z,275.25,1
Set,2016-08-31T18:20:00.000Z,1100.25,1
Rise,2016-09-01T04:30:00.000Z,270.25,1
Set,2016-09-01T18:20:00.000Z,1100.25,1
Rise,2016-09-02T04:45:00.000Z,285.25,2
Set,2016-09-02T18:15:00.000Z,1095.25,2
Rise,2016-09-03T04:40:00.000Z,280.25,3
Set,2016-09-03T17:55:00.000Z,1075.25,3
Rise,2016-09-04T04:30:00.000Z,270.25,3-5
Set,2016-09-04T17:40:00.000Z,1060.25,4
Rise,2016-09-05T04:40:00.000Z,280.25,5
Set,2016-09-05T17:45:00.000Z,1065.25,5
Rise,2016-09-06T04:45:00.000Z,285.25,5
Set,2016-09-06T17:40:00.000Z,1060.25,5
Rise,2016-09-07T04:40:00.000Z,280.25,5
Set,2016-09-07T17:45:00.000Z,1065.25,5
Rise,2016-09-08T04:40:00.000Z,280.25,5
Set,2016-09-08T17:30:00.000Z,1050.25,5
Rise,2016-09-09T04:50:00.000Z,290.25,5
Set,2016-09-09T17:40:00.000Z,1060.25,5
Rise,2016-09-10T04:35:00.000Z,275.25,5
Set,2016-09-10T17:35:00.000Z,1055.25,5
Rise,2016-09-11T04:35:00.000Z,275.25,5
Set,2016-09-11T17:35:00.000Z,1055.25,5
Rise,2016-09-12T04:40:00.000Z,280.25,5
Set,2016-09-12T17:35:00.000Z,1055.25,5
Rise,2016-09-13T04:50:00.000Z,290.25,5
Set,2016-09-13T17:35:00.000Z,1055.25,5
Rise,2016-09-14T04:50:00.000Z,290.25,5
Set,2016-09-14T17:25:00.000Z,1045.25,5
Rise,2016-09-15T05:05:00.000Z,305.25,5
Set,2016-09-15T17:30:00.000Z,1050.25,5
Rise,2016-09-16T04:55:00.000Z,295.25,5
Set,2016-09-16T17:25:00.000Z,1045.25,5
Rise,2016-09-17T05:05:00.000Z,305.25,5
