series,timestamp,value,label
Rise,2016-07-15T03:30:00.000Z,210.5,1
Set,2016-07-15T19:35:00.000Z,1175.5,1
Rise,2016-07-16T03:35:00.000Z,215.5,1
Set,2016-07-16T19:40:00.000Z,1180.5,1
Rise,2016-07-17T03:30:00.000Z,210.5,1
Set,2016-07-17T19:35:00.000Z,1175.5,1
Rise,2016-07-18T03:40:00.000Z,220.5,1
Set,2016-07-18T19:35:00.000Z,1175.5,1
Rise,2016-07-19T03:30:00.000Z,210.5,1
Set,2016-07-19T19:35:00.000Z,1175.5,1
Rise,2016-07-20T03:30:00.000Z,210.5,1
Set,2016-07-20T19:25:00.000Z,1165.5,1
Rise,2016-07-21T03:45:00.000Z,225.5,1
Set,2016-07-21T19:20:00.000Z,1160.5,1
Rise,2016-07-22T04:05:00.000Z,245.5,1
Set,2016-07-22T19:25:00.000Z,1165.5,1
Rise,2016-07-23T03:55:00.000Z,235.5,1
Set,2016-07-23T19:30:00.000Z,1170.5,1
Rise,2016-07-24T03:40:00.000Z,220.5,1
Set,2016-07-24T19:25:00.000Z,1165.5,1
Rise,2016-07-25T03:50:00.000Z,230.5,1
Set,2016-07-25T19:20:00.000Z,1160.5,1
Rise,2016-07-26T03:50:00.000Z,230.5,1
Set,2016-07-26T19:25:00.000Z,1165.5,1
Rise,2016-07-27T03:50:00.000Z,230.5,1
Set,2016-07-27T19:15:00.000Z,1155.5,1
Rise,2016-07-28T03:50:00.000Z,230.5,1
Set,2016-07-28T19:25:00.000Z,1165.5,1
Rise,2016-07-29T03:50:00.000Z,230.5,1
Set,2016-07-29T19:25:00.000Z,1165.5,1
Rise,2016-07-30T03:50:00.000Z,230.5,1
Set,2016-07-30T19:10:00.000Z,1150.5,1
Rise,2016-07-31T04:05:00.000Z,245.5,1
Set,2016-07-31T19:15:00.000Z,1155.5,1
Rise,2016-08-01T04:00:00.000Z,240.5,1
Set,2016-08-01T19:10:00.000Z,1150.5,1
Rise,2016-08-02T04:05:00.000Z,245.5,1
Set,2016-08-02T19:05:00.000Z,1145.5,1
Rise,2016-08-03T04:00:00.000Z,240.5,1
Set,2016-08-03T19:00:00.000Z,1140.5,1
Rise,2016-08-04T04:05:00.000Z,245.5,1
Set,2016-08-04T18:40:00.000Z,1120.5,discard
Rise,2016-08-05T04:35:00.000Z,275.5,discard
Set,2016-08-05T19:00:00.000Z,1140.5,1
Rise,2016-08-06T04:05:00.000Z,245.5,1
Set,2016-08-06T19:05:00.000Z,1145.5,1
Rise,2016-08-07T03:55:00.000Z,235.5,1
Set,2016-08-07T18:55:00.000Z,1135.5,1
Rise,2016-08-08T03:55:00.000Z,235.5,1
Set,2016-08-08T19:00:00.000Z,1140.5,1
Rise,2016-08-09T04:30:00.000Z,270.5,discard
Set,2016-08-09T18:35:00.000Z,1115.5,discard
Rise,2016-08-10T04:20:00.000Z,260.5,1
Set,2016-08-10T18:45:00.000Z,1125.5,1
Rise,2016-08-11T04:20:00.000Z,260.5,1
Set,2016-08-11T18:55:00.000Z,1135.5,1
Rise,2016-08-12T04:35:00.000Z,275.5,discard
Set,2016-08-12T19:00:00.000Z,1140.5,1
Rise,2016-08-13T04:30:00.000Z,270.5,discard
Set,2016-08-13T18:45:00.000Z,1125.5,1
Rise,2016-08-14T04:15:00.000Z,255.5,1
Set,2016-08-14T18:40:00.000Z,1120.5,discard
Rise,2016-08-15T04:20:00.000Z,260.5,1
Set,2016-08-15T18:50:00.000Z,1130.5,1
Rise,2016-08-16T04:20:00.000Z,260.5,1
Set,2016-08-16T18:50:00.000Z,1130.5,1
Rise,2016-08-17T04:30:00.000Z,270.5,1
Set,2016-08-17T18:45:00.000Z,1125.5,1
Rise,2016-08-18T04:45:00.000Z,285.5,1
Set,2016-08-18T18:40:00.000Z,1120.5,1
Rise,2016-08-19T04:35:00.000Z,275.5,1
Set,2016-08-19T18:30:00.000Z,1110.5,1
Rise,2016-08-20T04:40:00.000Z,280.5,1
Set,2016-08-20T18:40:00.000Z,1120.5,1
Rise,2016-08-21T04:30:00.000Z,270.5,1
Set,2016-08-21T18:40:00.000Z,1120.5,1
Rise,2016-08-22T04:30:00.000Z,270.5,1
Set,2016-08-22T18:45:00.000Z,1125.5,1
Rise,2016-08-23T04:30:00.000Z,270.5,1
Set,2016-08-23T18:30:00.000Z,1110.5,1
Rise,2016-08-24T04:25:00.000Z,265.5,1
Set,2016-08-24T18:25:00.000Z,1105.5,1
Rise,2016-08-25T04:30:00.000Z,270.5,1
Set,2016-08-25T18:30:00.000Z,1110.5,1
Rise,2016-08-26T04:35:00.000Z,275.5,1
Set,2016-08-26T18:20:00.000Z,1100.5,1
Rise,2016-08-27T04:30:00.000Z,270.5,2
Set,2016-08-27T18:10:00.000Z,1090.5,2
Rise,2016-08-28T04:15:00.000Z,255.5,discard
Set,2016-08-28T18:00:00.000Z,1080.5,3
Rise,2016-08-29T04:15:00.000Z,255.5,discard
Set,2016-08-29T18:00:00.000Z,1080.5,4
Rise,2016-08-30T05:00:00.000Z,300.5,4
Set,2016-08-30T17:55:00.000Z,1075.5,4
Rise,2016-08-31T04:35:00.000Z,275.5,4
Set,2016-08-31T17:50:00.000Z,1070.5,4
Rise,2016-09-01T04:35:00.000Z,275.5,4
Set,2016-09-01T17:55:00.000Z,1075.5,4
Rise,2016-09-02T05:00:00.000Z,300.5,5
Set,2016-09-02T17:50:00.000Z,1070.5,5
Rise,2016-09-03T04:50:00.000Z,290.5,5
Set,2016-09-03T17:50:00.000Z,1070.5,5
Rise,2016-09-04T04:45:00.000Z,285.5,5
Set,2016-09-04T17:50:00.000Z,1070.5,5
Rise,2016-09-05T05:00:00.000Z,300.5,5
Set,2016-09-05T17:50:00.000Z,1070.5,5
Rise,2016-09-06T04:55:00.000Z,295.5,5
Set,2016-09-06T17:55:00.000Z,1075.5,5
Rise,2016-09-07T04:55:00.000Z,295.5,5
Set,2016-09-07T17:50:00.000Z,1070.5,5
Rise,2016-09-08T04:50:00.000Z,290.5,5
Set,2016-09-08T17:45:00.000Z,1065.5,5
Rise,2016-09-09T04:50:00.000Z,290.5,5
Set,2016-09-09T17:45:00.000Z,1065.5,5
Rise,2016-09-10T04:55:00.000Z,295.5,6
Set,2016-09-10T17:35:00.000Z,1055.5,6
Rise,2016-09-11T04:45:00.000Z,285.5,6-5
Set,2016-09-11T17:40:00.000Z,1060.5,7
Rise,2016-09-12T04:55:00.000Z,295.5,7-5
Set,2016-09-12T16:55:00.000Z,1015.5,discard
Rise,2016-09-13T05:20:00.000Z,320.5,9
Set,2016-09-13T17:35:00.000Z,1055.5,9
Rise,2016-09-14T05:05:00.000Z,305.5,9
Set,2016-09-14T17:40:00.000Z,1060.5,9
Rise,2016-09-15T05:05:00.000Z,305.5,9
Set,2016-09-15T17:15:00.000Z,1035.5,discard
Rise,2016-09-16T05:05:00.000Z,305.5,9
Set,2016-09-16T17:40:00.000Z,1060.5,9
Rise,2016-09-17T05:05:00.000Z,305.5,9
Set,2016-09-17T17:35:00.000Z,1055.5,9
Rise,2016-09-18T05:15:00.000Z,315.5,9
Set,2016-09-18T17:35:00.000Z,1055.5,9
Rise,2016-09-19T05:05:00.000Z,305.5,9
Set,2016-09-19T17:25:00.000Z,1045.5,9
Rise,2016-09-20T05:05:00.000Z,305.5,9
Set,2016-09-20T17:35:00.000Z,1055.5,9
Rise,2016-09-21T05:10:00.000Z,310.5,9
Set,2016-09-21T17:35:00.000Z,1055.5,9
Rise,2016-09-22T05:05:00.000Z,305.5,9
Set,2016-09-22T17:35:00.000Z,1055.5,9
Rise,2016-09-23T05:05:00.000Z,305.5,9
Set,2016-09-23T17:35:00.000Z,1055.5,9
Rise,2016-09-24T05:05:00.000Z,305.5,9
Set,2016-09-24T17:35:00.000Z,1055.5,9
Rise,2016-09-25T05:05:00.000Z,305.5,9
Set,2016-09-25T17:25:00.000Z,1045.5,9
Rise,2016-09-26T05:10:00.000Z,310.5,9
Set,2016-09-26T17:30:00.000Z,1050.5,9
Rise,2016-09-27T05:05:00.000Z,305.5,9
Set,2016-09-27T17:25:00.000Z,1045.5,9
Rise,2016-09-28T05:05:00.000Z,305.5,9
Set,2016-09-28T17:20:00.000Z,1040.5,9
Rise,2016-09-29T05:00:00.000Z,300.5,9
Set,2016-09-29T17:20:00.000Z,1040.5,9
Rise,2016-09-30T05:15:00.000Z,315.5,9
Set,2016-09-30T17:15:00.000Z,1035.5,9
Rise,2016-10-01T05:05:00.000Z,305.5,9
Set,2016-10-01T17:20:00.000Z,1040.5,9
Rise,2016-10-02T05:10:00.000Z,310.5,9
Set,2016-10-02T17:25:00.000Z,1045.5,9
Rise,2016-10-03T05:05:00.000Z,305.5,9
Set,2016-10-03T17:25:00.000Z,1045.5,9
Rise,2016-10-04T05:00:00.000Z,300.5,9
Set,2016-10-04T17:25:00.000Z,1045.5,9
Rise,2016-10-05T05:05:00.000Z,305.5,9
Set,2016-10-05T17:20:00.000Z,1040.5,9
Rise,2016-10-06T05:05:00.000Z,305.5,9
Set,2016-10-06T17:15:00.000Z,1035.5,9
Rise,2016-10-07T05:05:00.000Z,305.5,9
Set,2016-10-07T17:15:00.000Z,1035.5,9
Rise,2016-10-08T05:00:00.000Z,300.5,9
Set,2016-10-08T17:20:00.000Z,1040.5,9
Rise,2016-10-09T05:30:00.000Z,330.5,discard
Set,2016-10-09T17:10:00.000Z,1030.5,10
Rise,2016-10-10T05:25:00.000Z,325.5,10
Set,2016-10-10T17:15:00.000Z,1035.5,10
Rise,2016-10-11T05:20:00.000Z,320.5,11
Set,2016-10-11T17:20:00.000Z,1040.5,11
Rise,2016-10-12T05:15:00.000Z,315.5,11
Set,2016-10-12T17:20:00.000Z,1040.5,11
Rise,2016-10-13T05:25:00.000Z,325.5,11
Set,2016-10-13T17:10:00.000Z,1030.5,11
Rise,2016-10-14T05:10:00.000Z,310.5,11
Set,2016-10-14T17:05:00.000Z,1025.5,11
Rise,2016-10-15T05:25:00.000Z,325.5,11
Set,2016-10-15T17:10:00.000Z,1030.5,11
Rise,2016-10-16T05:10:00.000Z,310.5,11
Set,2016-10-16T17:10:00.000Z,1030.5,11
Rise,2016-10-17T05:20:00.000Z,320.5,11
Set,2016-10-17T17:10:00.000Z,1030.5,11
Rise,2016-10-18T05:15:00.000Z,315.5,11
Set,2016-10-18T16:55:00.000Z,1015.5,11
Rise,2016-10-19T05:30:00.000Z,330.5,11
Set,2016-10-19T17:10:00.000Z,1030.5,11
Rise,2016-10-20T05:20:00.000Z,320.5,11
Set,2016-10-20T17:15:00.000Z,1035.5,11
Rise,2016-10-21T05:25:00.000Z,325.5,11
Set,2016-10-21T17:10:00.000Z,1030.5,11
Rise,2016-10-22T05:15:00.000Z,315.5,11
Set,2016-10-22T17:00:00.000Z,1020.5,11
Rise,2016-10-23T05:25:00.000Z,325.5,11
Set,2016-10-23T17:05:00.000Z,1025.5,11
Rise,2016-10-24T05:20:00.000Z,320.5,11
Set,2016-10-24T17:15:00.000Z,1035.5,11
Rise,2016-10-25T05:25:00.000Z,325.5,11
Set,2016-10-25T17:05:00.000Z,1025.5,11
Rise,2016-10-26T05:30:00.000Z,330.5,11
Set,2016-10-26T17:05:00.000Z,1025.5,11
Rise,2016-10-27T05:20:00.000Z,320.5,11
Set,2016-10-27T17:05:00.000Z,1025.5,11
Rise,2016-10-28T05:15:00.000Z,315.5,11
